Rank,Neighbourhood name,Equity Score
61,Agincourt North,54.67
55,Agincourt South-Malvern West,53.43
86,Alderwood,63.88
123,Annex,78.6
110,Banbury-Don Mills,73.19
73,Bathurst Manor,58.41
120,Bay Street Corridor,77.07
107,Bayview Village,71.65
82,Bayview Woods-Steeles,62.37
128,Bedford Park-Nortown,81.55
4,Beechborough-Greenbrook,26.54
40,Bendale,47.72
79,Birchcliffe-Cliffside,60.28
1,Black Creek,21.38
72,Blake-Jones,58.07
71,Briar Hill-Belgravia,57.81
131,Bridle Path-Sunnybrook-York Mills,83.04
56,Broadview North,53.69
32,Brookhaven-Amesbury,43.07
112,Cabbagetown-South St.James Town,74.42
35,Caledonia-Fairbank,44.65
129,Casa Loma,82.31
106,Centennial Scarborough,70.75
101,Church-Yonge Corridor,67.92
41,Clairlea-Birchmount,48.34
104,Clanton Park,69.53
63,Cliffcrest,55.95
59,Corso Italia-Davenport,54.03
11,Crescent Town,33.21
100,Danforth,67.56
98,Danforth East York,66.94
80,Don Valley Village,60.52
36,Dorset Park,45.12
69,Dovercourt-Wallace Emerson-Junction,57.09
22,Downsview-Roding-CFB,37.16
97,Dufferin Grove,66.79
93,East End-Danforth,65.82
85,Edenbridge-Humber Valley,63.36
20,Eglinton East,36.28
7,Elms-Old Rexdale,29.54
64,Englemount-Lawrence,56.01
84,Eringate-Centennial-West Deane,62.56
50,Etobicoke West Mall,51.19
17,Flemingdon Park,35.81
114,Forest Hill North,74.94
137,Forest Hill South,86.24
2,Glenfield-Jane Heights,24.39
53,Greenwood-Coxwell,52.13
95,Guildwood,66.19
52,Henry Farm,51.87
124,High Park North,80.58
121,High Park-Swansea,77.14
74,Highland Creek,58.77
94,Hillcrest Village,65.84
66,Humber Heights-Westmount,56.13
14,Humber Summit,34.3
19,Humbermede,36.09
111,Humewood-Cedarvale,73.94
16,Ionview,35.73
83,Islington-City Centre West,62.51
87,Junction Area,64.27
27,Keelesdale-Eglinton West,40.14
31,Kennedy Park,42.38
47,Kensington-Chinatown,50.7
30,Kingsview Village-The Westway,41.76
136,Kingsway South,86.19
49,L'Amoreaux,50.78
96,Lambton Baby Point,66.36
116,Lansing-Westgate,76.15
140,Lawrence Park North,92.05
139,Lawrence Park South,90.12
133,Leaside-Bennington,85.82
77,Little Portugal,60.04
67,Long Branch,56.26
34,Malvern,43.89
48,Maple Leaf,50.72
113,Markland Wood,74.88
68,Milliken,56.85
81,Mimico,62.36
21,Morningside,36.89
46,Moss Park,50.11
3,Mount Dennis,26.39
6,Mount Olive-Silverstone-Jamestown,29.29
135,Mount Pleasant East,86.04
118,Mount Pleasant West,76.39
54,New Toronto,53.21
89,Newtonbrook East,65.18
65,Newtonbrook West,56.07
109,Niagara,72.54
127,North Riverdale,81.21
39,North St.James Town,47.55
42,O'Connor-Parkview,48.67
5,Oakridge,28.57
70,Oakwood Village,57.33
91,Old East York,65.61
108,Palmerston-Little Italy,72.19
57,Parkwoods-Donalda,53.79
58,Pelmo Park-Humberlea,53.79
117,Playter Estates-Danforth,76.16
92,Pleasant View,65.72
119,Princess-Rosethorn,76.57
8,Regent Park,29.81
33,Rexdale-Kipling,43.76
12,Rockcliffe-Smythe,33.86
88,Roncesvalles,64.95
132,Rosedale-Moore Park,83.78
43,Rouge,48.81
134,Runnymede-Bloor West Village,85.85
15,Rustic,35.4
13,Scarborough Village,33.94
10,South Parkdale,33.1
76,South Riverdale,59.94
122,St.Andrew-Windfields,77.43
51,Steeles,51.66
103,Stonegate-Queensway,69.29
62,Tam O'Shanter-Sullivan,55.14
130,The Beaches,82.62
26,Thistletown-Beaumond Heights,39.78
9,Thorncliffe Park,33.09
78,Trinity-Bellwoods,60.09
115,University,75.07
28,Victoria Village,40.39
126,Waterfront Communities-The Island,80.99
23,West Hill,37.25
37,West Humber-Clairville,45.78
38,Westminster-Branson,46.57
18,Weston,35.99
29,Weston-Pellam Park,40.47
44,Wexford/Maryvale,49.47
105,Willowdale East,69.67
99,Willowdale West,67.04
60,Willowridge-Martingrove-Richview,54.46
25,Woburn,39.01
102,Woodbine Corridor,68.11
75,Woodbine-Lumsden,59.08
90,Wychwood,65.46
138,Yonge-Eglinton,88.11
125,Yonge-St.Clair,80.99
24,York University Heights,37.66
45,Yorkdale-Glen Park,49.53
